name,family,outcome,proposal_call_seconds,check_seconds,certificate_bytes
cycle-88,cycle_classification,fill,0.0005349260000002687,2.882400008274999e-05,54
segment-89,integral_coordinates,homology,0.0012341189999460767,0.00029651699992427893,658
boundary-89,cycle_filling,fill,0.00137144499990427,3.773699995690549e-05,57
cycle-89,cycle_classification,obstruction,0.0012602780000179337,3.9340000057563884e-05,77
segment-90,integral_coordinates,homology,0.000887397000042256,0.00019575500004975765,602
boundary-90,cycle_filling,fill,0.0009643729999879724,3.8647999872409855e-05,58
cycle-90,cycle_classification,obstruction,0.0009199050000461284,4.062099992552248e-05,71
segment-91,integral_coordinates,homology,0.0004164570000284584,9.052700011125125e-05,443
boundary-91,cycle_filling,fill,0.00046496000004481175,3.0645999913758715e-05,49
cycle-91,cycle_classification,fill,0.0004300279999824852,2.6168999966103e-05,49
segment-92,integral_coordinates,homology,0.0011714049999227427,0.00022025100020073296,616
boundary-92,cycle_filling,fill,0.001290753999910521,4.621900006895885e-05,54
cycle-92,cycle_classification,obstruction,0.0012268680000033783,4.949399999532034e-05,77
segment-93,integral_coordinates,homology,0.0013137490000190155,0.00020006099998681748,584
boundary-93,cycle_filling,fill,0.0012664669998230238,4.385600004752632e-05,56
cycle-93,cycle_classification,obstruction,0.001203251999868371,4.647000014301739e-05,76
segment-94,integral_coordinates,homology,0.0007553870000265306,0.00018878500009122945,555
boundary-94,cycle_filling,fill,0.0008012370001324598,2.994499982378329e-05,49
cycle-94,cycle_classification,obstruction,0.0007933249999041436,3.301900005681091e-05,77
segment-95,integral_coordinates,homology,0.0012900930000796507,0.00026708199993663584,656
boundary-95,cycle_filling,fill,0.0013475499999913154,4.261399999450077e-05,59
cycle-95,cycle_classification,obstruction,0.0013039240000125574,4.552799987322942e-05,76
reduce-point-False-False,unit_reduction,reduction,4.609000006894348e-05,6.530800010295934e-05,186
reduce-point-False-True,unit_reduction,reduction,3.837700000985933e-05,5.35009999111935e-05,186
reduce-point-True-False,unit_reduction,reduction,0.00023387200008073705,5.5923999980223016e-05,188
reduce-point-True-True,unit_reduction,reduction,0.0002075130000775971,5.758699990110472e-05,188
reduce-edge-False-False,unit_reduction,reduction,0.0002536719998715853,7.612400008838449e-05,211
reduce-edge-False-True,unit_reduction,reduction,0.00028372799988574116,8.594900009484263e-05,211
reduce-edge-True-False,unit_reduction,reduction,0.00045672700002796773,0.00011742699985006766,212
reduce-edge-True-True,unit_reduction,reduction,0.00021626600005220098,0.00017721699987305328,318
reduce-circle-False-False,unit_reduction,reduction,0.0008319229998505762,0.0002266510000481503,311
reduce-circle-False-True,unit_reduction,reduction,0.00046612200003437465,0.00043166000000383065,485
reduce-circle-True-False,unit_reduction,reduction,0.0009590040001512534,0.0002766669999800797,307
reduce-circle-True-True,unit_reduction,reduction,0.0005940150001606526,0.0006097989999034326,597
reduce-triangle-False-False,unit_reduction,reduction,0.0009762399999999616,0.00026087300011568004,308
reduce-triangle-False-True,unit_reduction,reduction,0.000601364999965881,0.0006070050001198979,596
reduce-triangle-True-False,unit_reduction,reduction,0.0012529169998742873,0.0003232970000226487,308
reduce-triangle-True-True,unit_reduction,reduction,0.0012190049999389885,0.0003078140000525309,309
reduce-tetra-boundary-False-False,unit_reduction,reduction,0.004012452999859306,0.001485007000155747,705
reduce-tetra-boundary-False-True,unit_reduction,reduction,0.0038450720001037553,0.0014124669999091566,707
reduce-tetra-boundary-True-False,unit_reduction,reduction,0.004563824000115346,0.0015916180000203894,696
reduce-tetra-boundary-True-True,unit_reduction,reduction,0.004038362000073903,0.0015819630000351026,704
reduce-tetrahedron-False-False,unit_reduction,reduction,0.004642713000066578,0.0015608100000008562,698
reduce-tetrahedron-False-True,unit_reduction,reduction,0.0037353459999849292,0.0015729089998330892,699
reduce-tetrahedron-True-False,unit_reduction,reduction,0.00549521600009939,0.0017512679999072134,696
reduce-tetrahedron-True-True,unit_reduction,reduction,0.003973495000082039,0.002256097000099544,997
reduce-disconnected-False-False,unit_reduction,reduction,0.0006544160000885313,0.00022060199989937246,310
reduce-disconnected-False-True,unit_reduction,reduction,0.0006816269999490032,0.00022579000005862326,310
reduce-disconnected-True-False,unit_reduction,reduction,0.0009216480000304728,0.0002605530000892031,308
reduce-disconnected-True-True,unit_reduction,reduction,0.0008680969999659283,0.0002677640000001702,307
reduce-square-False-False,unit_reduction,reduction,0.0011423109999668668,0.000379441000177394,384
reduce-square-False-True,unit_reduction,reduction,0.0010755900000276597,0.0003898570000728796,392
reduce-square-True-False,unit_reduction,reduction,0.001428652000186048,0.0004805339999620628,379
reduce-square-True-True,unit_reduction,reduction,0.0013282410000101663,0.0007258529999489838,586
reduce-random-0,unit_reduction,reduction,0.00018775200010168192,5.680599997504032e-05,189
reduce-random-1,unit_reduction,reduction,0.0013676599999143946,0.0012178439999388502,856
reduce-random-2,unit_reduction,reduction,0.000648897000019133,0.0002452499998071289,312
reduce-random-3,unit_reduction,reduction,0.0003150649999952293,0.00012672000002567074,255
reduce-random-4,unit_reduction,reduction,7.137800002965378e-05,7.11469999714609e-05,212
