family,id,status,search_ms,check_ms,certificate_bytes
cdclt_random,random_139,unsat,0.033275,0.014686,1104
cdclt_random,random_140,sat,0.105846,0.005514,387
cdclt_random,random_141,sat,0.224655,0.004495,358
cdclt_random,random_142,unsat,0.085498,0.015301,754
cdclt_random,random_143,unsat,0.027439,0.008448,676
cdclt_random,random_144,sat,0.059655,0.003986,292
cdclt_random,random_145,unsat,0.021546,0.008379,511
cdclt_random,random_146,sat,0.047658,0.004751,295
cdclt_random,random_147,sat,0.029035,0.004719,281
cdclt_random,random_148,unsat,0.034236,0.011894,831
cdclt_random,random_149,unsat,0.037435,0.012861,888
cdclt_random,random_150,unsat,0.087546,0.019113,1329
cdclt_random,random_151,unsat,0.04446,0.016111,1134
cdclt_random,random_152,unsat,0.038771,0.013552,936
cdclt_random,random_153,unsat,0.070809,0.014872,1159
cdclt_random,random_154,unsat,0.078495,0.017296,1228
cdclt_random,random_155,sat,0.063101,0.005925,380
cdclt_random,random_156,unsat,0.08487,0.016457,886
cdclt_random,random_157,sat,0.043604,0.007348,358
cdclt_random,random_158,unsat,0.072482,0.01279,896
cdclt_random,random_159,sat,0.092948,0.005672,372
cdclt_random,random_160,sat,0.018497,0.003732,253
cdclt_random,random_161,unsat,0.046515,0.0109,783
cdclt_random,random_162,unsat,0.031758,0.013817,1083
cdclt_random,random_163,unsat,0.035613,0.006393,490
cdclt_random,random_164,unsat,0.026092,0.009168,667
cdclt_random,random_165,unsat,0.071073,0.010053,611
cdclt_random,random_166,unsat,0.062417,0.012376,926
cdclt_random,random_167,unsat,0.038436,0.013432,1005
cdclt_random,random_168,sat,0.124294,0.007049,434
cdclt_random,random_169,unsat,0.028488,0.009135,616
cdclt_random,random_170,sat,0.061317,0.004268,336
cdclt_random,random_171,sat,0.059457,0.005437,368
cdclt_random,random_172,unsat,0.035779,0.014211,925
cdclt_random,random_173,unsat,0.114213,0.014999,1115
cdclt_random,random_174,sat,0.035672,0.007191,341
cdclt_random,random_175,unsat,0.057858,0.011956,850
cdclt_random,random_176,sat,0.047504,0.004419,294
cdclt_random,random_177,unsat,0.048212,0.013019,886
cdclt_random,random_178,sat,0.080648,0.005943,414
cdclt_random,random_179,sat,0.452351,0.00516,363
cdclt_random,random_180,unsat,0.052363,0.013457,916
cdclt_random,random_181,unsat,0.026172,0.00921,486
cdclt_random,random_182,unsat,0.051456,0.013933,1030
cdclt_random,random_183,sat,0.070089,0.006066,365
cdclt_random,random_184,unsat,0.02353,0.009044,586
cdclt_random,random_185,unsat,0.039496,0.008095,577
cdclt_random,random_186,sat,0.094606,0.005755,354
cdclt_random,random_187,unsat,0.037045,0.094934,951
cdclt_random,random_188,unsat,0.083179,0.027236,1013
cdclt_random,random_189,unsat,0.044531,0.011098,650
cdclt_random,random_190,unsat,0.076898,0.015748,1063
cdclt_random,random_191,unsat,0.050114,0.015135,867
cdclt_random,random_192,unsat,0.045772,0.011768,708
cdclt_random,random_193,unsat,0.051583,0.011771,744
cdclt_random,random_194,unsat,0.062846,0.011272,592
cdclt_random,random_195,unsat,0.064358,0.017841,1174
cdclt_random,random_196,unsat,0.032792,0.009117,694
cdclt_random,random_197,sat,0.077861,0.006501,367
cdclt_random,random_198,unsat,0.075794,0.009935,652
cdclt_random,random_199,unsat,0.076169,0.017681,1207
cdclt_random,random_200,sat,0.060441,0.007247,398
cdclt_random,random_201,unsat,0.028117,0.011168,856
cdclt_random,random_202,sat,0.097434,0.005729,331
cdclt_random,random_203,unsat,0.043716,0.016323,1105
cdclt_random,random_204,unsat,0.043369,0.010404,683
cdclt_random,random_205,sat,0.04078,0.005388,284
cdclt_random,random_206,unsat,0.173516,0.017738,1201
cdclt_random,random_207,unsat,0.079406,0.018929,1119
cdclt_random,random_208,unsat,0.039813,0.00803,571
cdclt_random,random_209,sat,0.088745,0.004531,309
cdclt_random,random_210,unsat,0.026099,0.009387,713
cdclt_random,random_211,unsat,0.211163,0.01378,987
