case,family,mode,expected,status,accepted,reason,check_seconds,kind,arithmetic_operations,basis_dimensions,elapsed_seconds,generators,grid_evaluations,groebner_calls,max_generated_degree,membership_queries,pullbacks,process_seconds,value,length
affine_mutant_02,affine mutant,ideal,refuted,refuted,True,,0.0005586270000321747,counterexample,157,,0.035511030999941795,3,3,2,1,4,3,2.162846662999982,"['-1', '1']",2
affine_equivalence_03,affine equivalence,linear,proved,proved,True,,0.0009318259999417933,closure-certificate,171,[3],0.03481016099999579,3,0,0,1,14,6,1.2826727289999553,,
affine_equivalence_03,affine equivalence,ideal,proved,proved,True,,0.000895291000006182,closure-certificate,171,[3],0.06349775099999988,3,0,3,1,14,6,1.212357484999984,,
affine_mutant_03,affine mutant,linear,refuted,refuted,True,,0.0008467180000479857,counterexample,430,,0.08189546899996003,4,4,0,1,6,5,1.778425795999965,"['-1', '1']",3
affine_mutant_03,affine mutant,ideal,refuted,refuted,True,,0.0005701640000097541,counterexample,430,,0.09694187599995985,4,4,3,1,6,5,1.2190429289998974,"['-1', '1']",3
affine_equivalence_04,affine equivalence,linear,proved,proved,True,,0.0004911050000373507,closure-certificate,68,[2],0.018697004999921774,2,0,0,1,10,4,1.351822150000089,,
affine_equivalence_04,affine equivalence,ideal,proved,proved,True,,0.000396473000023434,closure-certificate,68,[2],0.01861803700001019,2,0,2,1,10,4,1.6404029609999498,,
affine_mutant_04,affine mutant,linear,refuted,refuted,True,,0.00039400000002842717,counterexample,106,,0.014671205000013288,3,3,0,1,4,3,1.1300380129999894,"['-1', '1']",2
affine_mutant_04,affine mutant,ideal,refuted,refuted,True,,0.00034883300008914375,counterexample,106,,0.021809627000038745,3,3,2,1,4,3,1.536991493999949,"['-1', '1']",2
affine_equivalence_05,affine equivalence,linear,proved,proved,True,,0.0009367029999793886,closure-certificate,208,[3],0.13641006399996058,3,0,0,1,14,6,1.6230382019999752,,
affine_equivalence_05,affine equivalence,ideal,proved,proved,True,,0.0012903430000505978,closure-certificate,208,[3],0.053303530999983195,3,0,3,1,14,6,1.7914668490000167,,
affine_mutant_05,affine mutant,linear,refuted,refuted,True,,0.0009654469999986759,counterexample,430,,0.12236340700007986,4,4,0,1,6,5,1.6344994099999894,"['-1', '1']",3
affine_mutant_05,affine mutant,ideal,refuted,refuted,True,,0.0009494020000602177,counterexample,430,,0.13798204499994426,4,4,3,1,6,5,1.7360303959999328,"['-1', '1']",3
affine_equivalence_06,affine equivalence,linear,proved,proved,True,,0.0006632939999917653,closure-certificate,111,[2],0.043249470000091605,2,0,0,1,10,4,1.5521600439999474,,
affine_equivalence_06,affine equivalence,ideal,proved,proved,True,,0.0007678800000121555,closure-certificate,111,[2],0.021364415999983066,2,0,2,1,10,4,1.771102646999907,,
affine_equivalence_07,affine equivalence,linear,proved,proved,True,,0.001197964999960277,closure-certificate,220,[3],0.11729304200002844,3,0,0,1,14,6,2.287874310999996,,
affine_equivalence_07,affine equivalence,ideal,proved,proved,True,,0.001069051999934345,closure-certificate,220,[3],0.05432010399999854,3,0,3,1,14,6,1.476686136000012,,
affine_equivalence_08,affine equivalence,linear,proved,proved,True,,0.0006189069999891217,closure-certificate,93,[2],0.07424315000002935,2,0,0,1,10,4,1.6305647160000944,,
affine_equivalence_08,affine equivalence,ideal,proved,proved,True,,0.0006785770000306002,closure-certificate,93,[2],0.0151903549999588,2,0,2,1,10,4,1.8396583789999568,,
affine_equivalence_09,affine equivalence,linear,proved,proved,True,,0.0011672289999751229,closure-certificate,149,[3],0.13626847900002304,3,0,0,1,14,6,1.5219690779999837,,
affine_equivalence_09,affine equivalence,ideal,proved,proved,True,,0.0006790579999460533,closure-certificate,149,[3],0.07614649199990708,3,0,3,1,14,6,1.8548091210000166,,
affine_equivalence_10,affine equivalence,linear,proved,proved,True,,0.0005046759999913775,closure-certificate,111,[2],0.02685351799993896,2,0,0,1,10,4,1.5137521549999065,,
