lane,name,outcome,search_ms,check_ms,certificate_bytes
nc,q-plane-32,proved,0.1800200000161567,0.10647900001004018,1385
nc,q-plane-33,proved,0.02608900001632719,0.01815699999951903,135
nc,q-plane-34,proved,0.2071010000008755,0.11439100001098268,1469
nc,q-plane-35,proved,0.05436099991129595,0.03441100000145525,359
nc,q-plane-36,proved,0.1114469999947687,0.07251800002450182,865
nc,q-plane-37,proved,0.176534000047468,0.1140509999686401,1334
nc,q-plane-38,proved,0.08929300008730934,0.05709499998829415,608
nc,q-plane-39,proved,0.19900799998140428,0.12269400008335651,1611
nc,clifford-2,proved,0.09903899990604259,0.04752100005589455,251
nc,clifford-3,proved,0.24335499995231658,0.0869709999733459,437
nc,clifford-4,proved,0.23380999994060403,0.1711170000362472,687
nc,clifford-5,proved,0.3563139999869236,0.21217799996975373,1002
nc,clifford-6,proved,0.5586980000771291,0.2950919999875623,1380
nc,commutativity-not-assumed,unknown,0.010927000062110892,0.009394000016982318,121
nc,false-weyl-control,unknown,0.06190299995978421,0.014401999919755326,121
analytic,exp-margin-00,interval,0.08856300007664686,0.14172299995607318,96
analytic,exp-margin-01,interval,0.05860699991444562,0.0992779999933191,97
analytic,exp-margin-02,interval,0.05226799999036302,0.0934400000005553,97
analytic,exp-margin-03,interval,0.051196999947933364,0.09198800000831397,96
analytic,exp-margin-04,interval,0.05321999992702331,0.09224800010088074,96
analytic,exp-margin-05,interval,0.05049599997164478,0.18189300010362786,97
analytic,exp-margin-06,interval,0.05899799998587696,0.09728499992434081,97
analytic,exp-margin-07,interval,0.05287900000894297,0.09779700008039072,96
analytic,exp-margin-08,interval,0.05274899990581616,0.09303999991061573,96
analytic,exp-margin-09,interval,0.05109700009597873,0.09089599996059405,96
analytic,exp-margin-10,interval,0.051957999971818936,0.13244900003428484,97
analytic,exp-margin-11,interval,0.051376999977037485,0.09079599999495258,96
analytic,exp-margin-12,interval,0.04984500003502035,0.0913669999818012,96
analytic,exp-margin-13,interval,0.05406100001437153,0.09310899997672095,96
analytic,exp-margin-14,interval,0.051056999950560567,0.09190799994485133,97
analytic,exp-margin-15,interval,0.05359100009627582,0.09257900001102826,97
analytic,exp-margin-16,interval,0.06482700007381936,0.09088600006634806,96
analytic,exp-margin-17,interval,0.049394000029678864,0.09003500008475385,96
analytic,exp-margin-18,interval,0.049815000011221855,0.08958499995515012,96
analytic,exp-margin-19,interval,0.050044999966303294,0.09190799994485133,97
analytic,subdivision-00,interval,0.22476699996332172,0.15633500004241796,835
analytic,subdivision-01,interval,0.21784599994134624,0.13639500002682325,827
analytic,subdivision-02,interval,0.44557800003985903,0.3688729999566931,1686
analytic,subdivision-03,interval,0.2238149999129746,0.13807699997414602,795
analytic,subdivision-04,interval,0.09958900000128779,0.07202800009054044,387
analytic,subdivision-05,interval,0.47470200001953344,0.26867299993682536,1734
analytic,subdivision-06,interval,0.4608009999174101,0.27021500000046217,1734
analytic,subdivision-07,interval,0.4486620000534458,0.2834450000364086,1734
analytic,subdivision-08,interval,0.21555299997544353,0.1347719999102992,835
analytic,subdivision-09,interval,0.5705649999754314,0.29408099999272963,1734
analytic,subdivision-10,interval,0.2818020000177057,0.14698999996198836,827
analytic,subdivision-11,interval,0.47369999992952216,0.2706559999978708,1622
analytic,exp-log-composition,interval,0.12681000009706622,0.2600599999595943,110
analytic,exp-without-jet,unknown,1.2832740000021658,0.0013820000503983465,50
analytic,exp-with-jet,jet,0.09380100004818814,0.20683999991888413,129
analytic,log-without-jet,unknown,1.561339999966549,0.0014620000001741573,50
analytic,log-with-jet,jet,0.09402099999533675,0.18122100004802633,103
analytic,cos-without-jet,unknown,1.4430640000000494,0.0010520000159885967,50
analytic,cos-with-jet,jet,0.1475910000863223,3.0184549999603405,111
analytic,sin-without-jet,unknown,1.0898240000187798,0.0011220000715184142,50
analytic,sin-with-jet,jet,0.20054100002653286,14.800025999988975,111
analytic,false-exp,unknown,1.2411000000156491,0.001131000090026646,50
analytic,log-domain,unknown,0.02987499999562715,0.013008999985686387,50
analytic,pole-domain,unknown,0.09134699996593554,0.0007610000238855719,50
